
Sunspot Observations by Barnaba Oriani (1778 – 1779)

Original source: J.M. Nogales, V.M.S. Carrasco, R. Arlt, F. Domínguez-Castro, J.M. Vaquero, : 2020, Solar Physics.

FIRST COLUMN - year of the observation
SECOND COLUMN - month of the observation
THIRD COLUMN - day of the observation
FOURTH COLUMN - code of each sunspots
FIFTH COLUMN - heliographic latitude of each sunspot
SIXTH COLUMN - Carrington longitude of each sunspot
SEVENTH COLUMN - heliographic longitude of each sunspot with respect to central meridian


YEAR	MONTH	DAY	SUNSPOT	LAT	CAR-LON	LON
1778	6	3	4.3	-16.60	36.75	-23.83
1778	6	3	4.2	-14.86	48.25	-12.34
1778	6	3	4.4	-15.81	53.17	-7.41
1778	6	3	5	-13.95	24.24	-36.35
1778	6	3	6.2	-	-	-
1778	6	3	6	29.74	29.59	-30.99
1778	6	4	2	-	-	-
1778	6	4	2.3	-	-	-
1778	6	4	2.2	-	-	-
1778	6	4	4.0	-	-	-
1778	6	4	4	-	-	-
1778	6	4	4.3	-	-	-
1778	6	4	4.2	-	-	-
1778	6	4	4.5	-	-	-
1778	6	4	4.4	-	-	-
1778	6	4	5	-	-	-
1778	6	4	6.1	-	-	-
1778	6	4	6	-	-	-
1778	6	6	2	12.14	62.10	41.41
1778	6	6	2.3	9.98	60.68	39.99
1778	6	6	4.2	61.44	42.07	21.38
1778	6	6	4.3	-17.37	35.97	15.28
1778	6	6	4.4	-15.57	53.42	32.73
1778	6	6	4	-	-	-
1778	6	6	4.5	-	-	-
1778	6	6	5	-13.40	22.96	2.27
1778	6	6	6.2	30.82	12.95	-7.74
1778	6	6	6	29.76	26.84	6.15
1778	6	6	7	20.01	320.29	-60.40
1778	6	6	7.2	16.69	321.96	-58.73
1778	6	9	1	-13.50	290.99	-50.03
1778	6	9	1.2	-	-	-
1778	6	9	4	-12.59	47.48	66.46
1778	6	9	4.2	-14.28	52.50	71.48
1778	6	9	4.3	-17.45	36.02	55.00
1778	6	9	5	-13.37	21.38	40.36
1778	6	9	6.3	30.72	5.20	24.18
1778	6	9	6	29.02	23.91	42.89
1778	6	9	6.2	10.35	15.70	34.68
1778	6	9	7.2	25.89	282.59	-58.43
1778	6	9	7.3	18.66	292.68	-48.34
1778	6	9	7	19.05	320.24	-20.78
1778	6	11	1	-	-	-
1778	6	11	1.2	-	-	-
1778	6	11	2	-	-	-
1778	6	11	6.2	-	-	-
1778	6	11	6.3	-	-	-
1778	6	11	7.2	-	-	-
1778	6	11	7.4	-	-	-
1778	6	11	7.3	-	-	-
1778	6	11	7	-	-	-
1778	6	13	1	-13.38	290.63	2.43
1778	6	13	1.2	-24.20	267.34	-20.86
1778	6	13	7.2.1	25.49	282.41	-5.79
1778	6	13	7.4	22.66	280.02	-8.19
1778	6	13	7.2.2	19.87	282.95	-5.25
1778	6	13	7.3	19.62	299.68	11.48
1778	6	13	7.02	19.13	320.05	31.85
1778	6	13	7.01	8.77	324.84	36.63
1778	6	14	1	-12.73	291.30	16.33
1778	6	14	1.2	-24.49	267.50	-7.46
1778	6	14	2.2	36.09	241.71	-33.26
1778	6	14	2.3	9.46	195.77	-79.19
1778	6	14	7.2.1	26.25	283.65	8.68
1778	6	14	7.4	-	-	-
1778	6	14	7.2.2	20.71	283.35	8.39
1778	6	14	7.3	19.85	299.87	24.91
1778	6	14	7.04	18.95	308.58	33.62
1778	6	14	7.03	19.13	313.56	38.59
1778	6	14	7.02	19.39	318.67	43.71
1778	6	14	7.01	9.12	326.00	51.04
1778	6	15	1	-12.99	290.70	28.98
1778	6	15	1.2	-24.38	267.41	5.68
1778	6	15	2.3	-	-	-
1778	6	15	2.2	35.11	242.65	-19.07
1778	6	15	2	31.55	250.40	-11.32
1778	6	15	2.5	-	-	-
1778	6	15	2.4	8.79	184.37	-77.35
1778	6	15	7.2.1	27.39	283.16	21.44
1778	6	15	7.4	22.97	279.95	18.23
1778	6	15	7.2.2	20.43	282.45	20.72
1778	6	15	7.3	20.22	299.44	37.71
1778	6	15	7.0.3	19.58	313.49	51.77
1778	6	15	7.0.4	18.76	307.69	45.96
1778	6	15	7.0.2	19.64	318.55	56.83
1778	6	15	7.01	9.93	326.26	64.54
1778	6	17	1	-12.68	291.25	56.14
1778	6	17	1.2	-23.69	267.73	32.62
1778	6	17	2.2	-	-	-
1778	6	17	2.5	15.77	184.23	-50.88
1778	6	17	2	23.08	254.89	19.78
1778	6	17	2.6	10.58	191.85	-43.26
1778	6	17	2.3	10.47	192.48	-42.63
1778	6	17	2.4	10.27	194.28	-40.83
1778	6	17	2.3.1	-	-	-
1778	6	17	7.2.2	25.93	281.79	46.68
1778	6	17	7.2.1	20.84	281.92	46.81
1778	6	17	7.3	20.35	298.87	63.76
1778	6	17	7.4	18.04	278.39	43.28
1778	6	18	1	-13.91	292.96	70.95
1778	6	18	1.2	-24.83	267.41	45.40
1778	6	18	2.2.1	36.44	239.08	17.07
1778	6	18	2.2	36.62	240.52	18.51
1778	6	18	2.7	21.09	143.65	-78.36
1778	6	18	2.5	14.53	184.23	-37.77
1778	6	18	2	21.70	250.28	28.27
1778	6	18	2.3	13.96	207.12	-14.89
1778	6	18	2.6	9.55	192.07	-29.94
1778	6	18	2.4	9.04	195.11	-26.90
1778	6	18	2.3.1	10.93	210.12	-11.89
1778	6	18	7.2.2	25.00	279.35	57.34
1778	6	18	7.4	23.67	278.28	56.27
1778	6	18	7.3	20.12	295.86	73.85
1778	6	18	7.2.1	19.33	279.61	57.61
1778	6	19	1.2	-22.97	265.81	57.29
1778	6	19	2.7	19.95	144.37	-64.15
1778	6	19	2.5	14.22	181.56	-26.96
1778	6	19	2.0.1	22.20	249.50	40.98
1778	6	19	2	18.26	255.03	46.51
1778	6	19	2.6	10.31	192.18	-16.34
1778	6	19	2.3.2	11.60	201.36	-7.16
1778	6	19	2.2.1	15.43	234.73	26.21
1778	6	19	2.2	15.58	236.19	27.67
1778	6	19	2.4	9.76	195.36	-13.16
1778	6	19	2.3	11.30	210.55	2.02
1778	6	19	3.2	-21.88	131.19	-77.33
1778	6	19	3	-21.80	138.00	-70.52
1778	6	19	7.2.2	25.13	279.26	70.74
1778	6	20	1.2	-24.32	269.14	73.89
1778	6	20	2.2.2	37.54	247.57	51.76
1778	6	20	2.2.1	33.18	245.49	49.69
1778	6	20	2.2	33.39	249.66	53.86
1778	6	20	2.7	20.43	143.08	-52.73
1778	6	20	2.0.1	22.23	247.88	52.07
1778	6	20	2.5	13.99	184.11	-11.69
1778	6	20	2	18.39	253.55	57.74
1778	6	20	2.3.2	10.88	202.79	6.98
1778	6	20	2.6	9.45	193.87	-1.94
1778	6	20	2.3	11.19	211.71	15.90
1778	6	20	2.4	8.73	196.50	0.69
1778	6	20	3.2	-23.84	127.85	-67.96
1778	6	20	3	-23.90	134.75	-61.06
1778	6	20	4.2	31.34	119.71	-76.10
1778	6	20	4	27.17	130.10	-65.70
1778	6	21	2.2.2	37.00	236.07	53.64
1778	6	21	2.2.1	33.04	241.99	59.56
1778	6	21	2.2	33.19	248.70	66.27
1778	6	21	2.7	20.99	142.54	-39.89
1778	6	21	2.0.1	22.39	248.42	65.99
1778	6	21	2.5	13.89	184.41	1.98
1778	6	21	2.3.3	12.38	199.31	16.88
1778	6	21	2.3.2	11.41	200.70	18.28
1778	6	21	2.6	9.55	192.55	10.12
1778	6	21	2.4	9.20	193.87	11.44
1778	6	21	2.3	-	-	-
1778	6	21	3.2	-22.16	131.06	-51.37
1778	6	21	3	-22.28	135.47	-46.95
1778	6	21	4.2	31.39	116.43	-66.00
1778	6	21	4.2.1	28.58	118.69	-63.74
1778	6	21	4	26.93	127.34	-55.08
1778	6	22	2.7	-	-	-
1778	6	22	2.5	13.91	182.92	13.78
1778	6	22	2.3.3	11.80	198.15	29.01
1778	6	22	2.3.2	10.85	200.12	30.98
1778	6	22	2.6	9.76	190.73	21.59
1778	6	22	2.4	9.39	193.50	24.35
1778	6	22	3.2	-22.80	129.71	-39.43
1778	6	22	3	-23.08	134.78	-34.36
1778	6	22	4.2	31.96	118.74	-50.40
1778	6	22	4.2.1	28.56	118.73	-50.42
1778	6	22	4	26.92	126.79	-42.35
1778	6	23	2.7	20.36	144.16	-11.82
1778	6	23	2.5	14.03	183.43	27.45
1778	6	23	2.3.2	11.19	201.05	45.06
1778	6	23	2.6	9.65	192.53	36.54
1778	6	23	2.4	7.64	193.72	37.74
1778	6	23	3.2	-22.45	129.90	-26.08
1778	6	23	3	-22.52	134.54	-21.45
1778	6	23	3.0.1	-23.43	134.78	-21.21
1778	6	23	4.2	-	-	-
1778	6	23	4	27.03	125.25	-30.74
1778	6	24	2.7	-	-	-
1778	6	24	2.5	14.51	184.39	41.54
1778	6	24	2.6	9.83	192.92	50.07
1778	6	24	3.0.2	-22.20	128.14	-14.71
1778	6	24	3	-22.81	133.21	-9.64
1778	6	24	3.0.1	-23.71	133.69	-9.16
1778	6	24	4.2	32.03	114.41	-28.44
1778	6	24	4	27.14	122.33	-20.52
1778	6	24	4.2.1	24.46	118.25	-24.60
1778	6	24	4.0.1	22.30	127.51	-15.34
1778	6	25	2.5	14.31	184.26	54.92
1778	6	25	2.6	9.75	192.92	63.58
1778	6	25	3.2	-19.67	207.58	78.24
1778	6	25	3	-23.45	132.41	3.07
1778	6	25	3.0.1	-24.41	133.25	3.91
1778	6	25	4.2	31.27	112.83	-16.50
1778	6	25	4	27.00	122.58	-6.76
1778	6	26	2.5	14.30	181.82	65.44
1778	6	26	2.6	9.62	190.00	73.63
1778	6	26	3.0.2	-22.49	126.65	10.27
1778	6	26	3	-23.85	131.70	15.33
1778	6	26	3.0.1	-24.35	132.56	16.19
1778	6	26	4.2	31.72	110.30	-6.07
1778	6	26	4	26.80	121.69	5.32
1778	6	27	1	-12.08	61.07	-41.88
1778	6	27	1.2	-16.09	59.12	-43.83
1778	6	27	3.3	-22.12	107.09	4.14
1778	6	27	3.2	-22.73	127.88	24.93
1778	6	27	3	-23.77	132.56	29.61
1778	6	27	3.0.1	-24.34	134.12	31.17
1778	6	27	3.0.2	-27.11	132.14	29.20
1778	6	27	4.2	32.05	117.53	14.58
1778	6	27	4	26.85	120.36	17.41
1778	6	27	4.0.1	23.89	125.45	22.50
1778	6	30	1	-	-	-
1778	6	30	1.2	-	-	-
1778	6	30	2.2	-	-	-
1778	6	30	2	-	-	-
1778	6	30	2.0.1	-	-	-
1778	6	30	2.3	-	-	-
1778	6	30	3.2.1	-	-	-
1778	6	30	3.0.1	-	-	-
1778	6	30	3.2	-	-	-
1778	6	30	4.2.2	-	-	-
1778	6	30	4.2	-	-	-
1778	6	30	4.0.1	-	-	-
1778	6	30	4	-	-	-
1778	6	30	4.2.1	-	-	-
1778	7	1	1	-7.21	48.78	-1.12
1778	7	1	1.2	-18.23	46.83	-3.08
1778	7	1	2.2	29.37	12.47	-37.44
1778	7	1	2.3.1	23.87	339.88	-70.03
1778	7	1	2	-	-	-
1778	7	1	2.0.2	-	-	-
1778	7	1	2.3	21.98	348.55	-61.36
1778	7	1	3.2	-22.86	123.79	73.88
1778	7	1	4.2.2	29.35	107.12	57.22
1778	7	1	4.2	28.95	120.13	70.22
1778	7	1	4	21.93	129.53	79.62
1778	7	1	4.2.1	-	-	-
1778	7	1	5	8.26	336.59	-73.32
1778	7	2	1	-13.12	50.37	13.57
1778	7	2	2.2	29.97	7.62	-29.19
1778	7	2	2	27.14	23.11	-13.70
1778	7	2	2.3.1	24.05	335.93	-60.87
1778	7	2	2.0.1	25.37	22.15	-14.66
1778	7	2	2.3	21.93	346.00	-50.81
1778	7	2	5	8.08	334.04	-62.77
1778	7	3	1	-13.83	47.56	24.00
1778	7	3	2.2	29.95	9.52	-14.05
1778	7	3	2.0.3	26.87	52.60	29.03
1778	7	3	2.0.2	26.69	47.57	24.00
1778	7	3	2.3.1	23.77	333.77	-49.80
1778	7	3	2	25.48	23.40	-0.17
1778	7	3	2.0.4	25.60	28.92	5.35
1778	7	3	2.0.1	24.37	23.24	-0.32
1778	7	3	2.3	22.65	1.80	-21.77
1778	7	3	5	8.07	334.30	-49.27
1778	7	4	1	-13.38	46.57	36.28
1778	7	4	2.2	28.45	6.58	-3.71
1778	7	4	2	27.96	21.02	10.74
1778	7	4	2.0.3	27.35	49.01	38.72
1778	7	4	2.0.2	26.96	45.36	35.08
1778	7	4	2.0.4	25.98	27.04	16.75
1778	7	4	2.3.1	24.25	332.87	-37.42
1778	7	4	2.3	22.09	345.82	-24.46
1778	7	4	5	8.41	333.15	-37.13
1778	7	5	1	-	-	-
1778	7	5	2	27.86	21.35	24.26
1778	7	5	2.3.1	24.18	333.68	-23.42
1778	7	5	2.3	22.27	347.80	-9.30
1778	7	5	2.0.3	10.90	44.93	47.84
1778	7	5	5	7.91	335.06	-22.04
1778	7	5	6	-16.78	290.78	-66.32
1778	7	6	1	-10.34	43.91	60.10
1778	7	6	2	28.48	21.10	37.29
1778	7	6	2.0.4	26.84	28.32	44.51
1778	7	6	2.2	26.40	8.42	24.60
1778	7	6	2.3.1	24.23	333.51	-10.31
1778	7	6	2.3	22.67	347.18	3.36
1778	7	6	2.0.2	12.87	25.52	41.71
1778	7	6	2.0.3	-	-	-
1778	7	6	5	7.71	334.77	-9.04
1778	7	6	5.0.1	7.63	332.99	-10.82
1778	7	6	6	-18.22	280.93	-62.89
1778	7	7	1	-12.64	44.83	74.21
1778	7	7	2	28.10	21.15	50.53
1778	7	7	2.2	27.59	11.40	40.78
1778	7	7	2.0.4	25.91	24.26	53.64
1778	7	7	2.3.1	24.12	332.47	1.85
1778	7	7	2.3	22.05	347.18	16.56
1778	7	7	2.0.3	11.74	26.43	55.80
1778	7	7	2.0.2	11.74	22.10	51.48
1778	7	7	5.0.1	24.12	332.47	1.85
1778	7	7	5	8.26	334.56	3.94
1778	7	7	5.0.2	0.84	331.97	1.35
1778	7	7	6.2	25.95	40.01	69.38
1778	7	7	6.3	-18.32	253.76	-76.86
1778	7	7	6	-16.73	283.24	-47.39
1778	7	8	2	28.28	19.97	62.63
1778	7	8	2.0.4	26.18	25.74	68.40
1778	7	8	2.3.1	24.62	331.77	14.43
1778	7	8	2.3	22.03	346.59	29.25
1778	7	8	2.0.2	10.38	24.86	67.52
1778	7	8	5.0.2	12.04	329.92	12.58
1778	7	8	5	9.79	334.78	17.43
1778	7	8	5.0.1	8.53	332.32	14.98
1778	7	8	6.2	27.40	269.99	-47.35
1778	7	8	6.3	-17.90	250.87	-66.47
1778	7	8	6	-16.51	280.66	-36.68
1778	7	11	2.3.1	24.95	330.96	53.14
1778	7	11	2.3	22.57	345.18	67.36
1778	7	11	5.0.2	11.37	334.00	56.18
1778	7	11	5	8.98	338.02	60.19
1778	7	11	5.0.3	8.85	330.68	52.86
1778	7	11	5.0.1	8.59	333.84	56.01
1778	7	11	5.0.4	-13.41	326.58	48.76
1778	7	11	6	58.29	289.08	11.26
1778	7	11	6.2.2	30.65	231.80	-46.02
1778	7	11	6.2	27.49	267.80	-10.02
1778	7	11	6.2.1	22.54	242.86	-34.96
1778	7	11	6.3	-17.61	251.83	-25.99
1778	7	11	6.3.1	-29.27	207.05	-70.77
1778	7	13	2.3.1.1	23.43	331.59	80.37
1778	7	13	2.3.1	20.13	314.20	62.98
1778	7	13	5.0.4	-12.60	324.74	73.52
1778	7	13	5.0.4.1	-14.91	320.49	69.28
1778	7	13	6.2	27.39	267.20	15.99
1778	7	13	6.2.2	23.57	233.39	-17.83
1778	7	13	6.2.1	22.01	242.96	-8.25
1778	7	13	6.3.2	13.36	185.61	-65.61
1778	7	13	6	-17.55	280.98	29.76
1778	7	13	6.3	-17.05	251.53	0.32
1778	7	13	6.3.1	-28.36	208.58	-42.63
1778	7	14	2.3.1	20.90	313.53	75.54
1778	7	14	6.2	27.99	266.63	28.65
1778	7	14	6.2.2	23.83	233.00	-4.98
1778	7	14	6.2.1	22.12	242.02	4.03
1778	7	14	6.3.2	13.17	184.93	-53.05
1778	7	14	6.4	-13.28	163.27	-74.71
1778	7	14	6.3	-16.56	251.14	13.16
1778	7	14	6	-20.01	280.04	42.06
1778	7	14	6.3.1	-28.32	207.86	-30.13
1778	7	14	6.3.3	-31.67	204.48	-33.50
1778	7	16	6.2	27.99	265.76	54.24
1778	7	16	6.2.2	23.32	232.68	21.16
